,0
Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,0.6616666666666666
Rv3416,0.5
Rv0042c,0.5
Rv0827c,0.5
Rv0894,0.5
Rv0302,0.5
Rv0653c,0.5
Rv3219,0.5
Rv0135c,0.5
Rv2021c,0.5
Rv3223c,0.5
Rv3095,0.5
Rv0158,0.5
Rv0195,0.5
Rv3050c,0.5
Rv0022c,0.5
Rv3911,0.5
Rv2017,0.5
Rv3173c,0.5
Rv1846c,0.5
Rv1176c,0.5
Rv1395+Rv2642,0.5
Rv0117+Rv1219c,0.5
Rv0047c+Rv3855,0.5
Rv0232+Rv3164c,0.5
Rv0067c+Rv2359,0.5
Rv0767c+Rv2009,0.5
Rv0238+Rv3249c,0.5
Rv0623+Rv1186c,0.5
Rv0023+Rv0330c,0.5
Rv1423+Rv2506,0.5
Rv3066+Rv3405c,0.5
Rv0967+Rv2250c,0.5
Rv3167c+Rv3183,0.5
Rv1675c+Rv1773c,0.5
Rv0324+Rv2488c,0.5
Rv0353+Rv1189,0.5
Rv0674,0.5
Rv3082c,0.5
Rv3414c,0.5
Rv2595,0.5
Rv3597c,0.5
Rv3133c,0.5
Rv0054,0.5
Rv1994c,0.5
Rv3417c,0.5
Rv1404,0.5
Rv1956,0.5
Rv3676,0.5
Rv1359,0.5
Rv1556,0.5
Rv3124,0.5
Rv3862c,0.5
Rv0880,0.5
Rv0445c,0.5
Rv0981--Rv1332--Rv1828,0.5
Rv1379,0.5
Rv0891c,0.5
Rv3246c+Rv3260c,0.5
Rv1049,0.5
Rv2760c,0.5
Rv2827c,0.5
Rv3833,0.5
Rv0078,0.5
Rv0494,0.5
Rv1719,0.5
Rv2011c,0.5
Rv0602c,0.5
Rv1657,0.5
Rv2745c,0.5
Rv1473A,0.5
Rv1460,0.5
Rv1674c,0.5
Rv3291c,0.5
Rv3160c,0.5
Rv3849,0.5
Rv3557c,0.5
Rv1990c,0.495
