,feature_set,case,num_zero
0,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, -1, -1, -1, -1)",0.0
1,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, -1, -1, -1, 0)",0.0
2,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, -1, -1, -1, 1)",0.0
3,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, -1, -1, 0, -1)",0.0
4,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, -1, -1, 0, 0)",0.0
5,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, -1, -1, 0, 1)",0.0
6,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, -1, -1, 1, -1)",0.0
7,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, -1, -1, 1, 0)",0.0
8,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, -1, -1, 1, 1)",0.0
9,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, -1, 0, -1, -1)",0.0
10,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, -1, 0, -1, 0)",0.0
11,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, -1, 0, -1, 1)",0.0
12,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, -1, 0, 0, -1)",0.0
13,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, -1, 0, 0, 0)",10.0
14,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, -1, 0, 0, 1)",0.0
15,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, -1, 0, 1, -1)",0.0
16,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, -1, 0, 1, 0)",0.0
17,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, -1, 0, 1, 1)",0.0
18,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, -1, 1, -1, -1)",0.0
19,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, -1, 1, -1, 0)",0.0
20,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, -1, 1, -1, 1)",0.0
21,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, -1, 1, 0, -1)",0.0
22,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, -1, 1, 0, 0)",0.0
23,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, -1, 1, 0, 1)",0.0
24,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, -1, 1, 1, -1)",0.0
25,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, -1, 1, 1, 0)",0.0
26,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, -1, 1, 1, 1)",0.0
27,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 0, -1, -1, -1)",0.0
28,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 0, -1, -1, 0)",0.0
29,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 0, -1, -1, 1)",0.0
30,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 0, -1, 0, -1)",0.0
31,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 0, -1, 0, 0)",0.0
32,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 0, -1, 0, 1)",0.0
33,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 0, -1, 1, -1)",0.0
34,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 0, -1, 1, 0)",0.0
35,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 0, -1, 1, 1)",0.0
36,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 0, 0, -1, -1)",0.0
37,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 0, 0, -1, 0)",0.0
38,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 0, 0, -1, 1)",0.0
39,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 0, 0, 0, -1)",-10.0
40,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 0, 0, 0, 0)",0.0
41,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 0, 0, 0, 1)",0.0
42,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 0, 0, 1, -1)",0.0
43,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 0, 0, 1, 0)",0.0
44,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 0, 0, 1, 1)",0.0
45,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 0, 1, -1, -1)",0.0
46,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 0, 1, -1, 0)",0.0
47,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 0, 1, -1, 1)",0.0
48,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 0, 1, 0, -1)",0.0
49,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 0, 1, 0, 0)",0.0
50,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 0, 1, 0, 1)",0.0
51,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 0, 1, 1, -1)",0.0
52,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 0, 1, 1, 0)",0.0
53,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 0, 1, 1, 1)",0.0
54,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 1, -1, -1, -1)",0.0
55,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 1, -1, -1, 0)",0.0
56,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 1, -1, -1, 1)",0.0
57,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 1, -1, 0, -1)",0.0
58,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 1, -1, 0, 0)",0.0
59,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 1, -1, 0, 1)",0.0
60,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 1, -1, 1, -1)",0.0
61,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 1, -1, 1, 0)",0.0
62,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 1, -1, 1, 1)",0.0
63,Rv0081+Rv0474+Rv2034+Rv2069+Rv2779c+Rv3830c,"(-1, -1, 1, 0, -1, -1)",0.0
