,0
Rv0302+Rv2009+Rv3830c,0.9516666666666667
Rv2034+Rv3597c,0.9366666666666666
Rv0602c+Rv1956+Rv3249c,0.9316666666666666
Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,0.9233333333333333
Rv0827c+Rv1460+Rv2250c+Rv2359+Rv2779c+Rv3173c,0.895
Rv0232+Rv0330c+Rv0967+Rv3133c,0.8766666666666667
Rv0195+Rv3124+Rv3291c+Rv3855,0.8733333333333333
Rv0081+Rv0474+Rv1657+Rv3095+Rv3416,0.8666666666666667
Rv1176c+Rv3557c,0.855
Rv0047c+Rv1189+Rv1773c+Rv2595,0.8383333333333334
Rv0653c+Rv1186c,0.67
Rv1395+Rv1994c+Rv3833,0.6266666666666667
Rv2488c,0.5
Rv0445c,0.5
Rv1404,0.5
Rv3223c,0.5
Rv0042c,0.5
Rv0894,0.5
Rv3219,0.5
Rv2069,0.5
Rv3862c,0.5
Rv1219c,0.5
Rv1846c,0.5
Rv0135c,0.5
Rv0022c,0.5
Rv2017,0.5
Rv3405c,0.5
Rv3183,0.5
Rv1473A,0.5
Rv3167c,0.5
Rv3246c,0.5
Rv3066,0.5
Rv0494,0.5
Rv0078,0.5
Rv0623,0.5
Rv2760c,0.5
Rv3164c,0.5
Rv1049,0.5
Rv3082c,0.5
Rv3676,0.5
Rv0981--Rv1332--Rv1828,0.5
Rv1719,0.5
Rv1556,0.5
Rv0023,0.5
Rv0067c,0.5
Rv0324,0.5
Rv1675c,0.5
Rv3849,0.5
Rv3260c,0.5
Rv3911,0.5
Rv0767c,0.5
Rv2011c,0.5
Rv0117,0.5
Rv1674c,0.5
Rv2021c,0.5
Rv1379,0.5
Rv1990c,0.5
Rv2506,0.5
Rv2827c,0.5
Rv2745c,0.5
Rv1423,0.5
Rv1359,0.5
Rv0353,0.5
Rv3417c,0.5
Rv3050c,0.5
Rv0891c,0.5
Rv0674,0.5
Rv0238,0.5
