,feature_set,case,num_zero
79,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, -1, 0, 1, 0)",0.0
80,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, -1, 0, 1, 1)",0.0
81,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, -1, 1, -1, -1)",0.0
82,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, -1, 1, -1, 0)",0.0
83,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, -1, 1, -1, 1)",0.0
84,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, -1, 1, 0, -1)",0.0
85,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, -1, 1, 0, 0)",0.0
86,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, -1, 1, 0, 1)",0.0
87,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, -1, 1, 1, -1)",0.0
88,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, -1, 1, 1, 0)",0.0
89,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, -1, 1, 1, 1)",0.0
90,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 0, -1, -1, -1)",0.0
91,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 0, -1, -1, 0)",0.0
92,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 0, -1, -1, 1)",0.0
93,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 0, -1, 0, -1)",0.0
94,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 0, -1, 0, 0)",0.0
95,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 0, -1, 0, 1)",0.0
96,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(-1, 0, -1, 1, -1)",0.0
