,feature_set,case,num_zero
0,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, -1, -1, -1, -1)",0.0
1,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, -1, -1, -1, 0)",0.0
2,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, -1, -1, -1, 1)",0.0
3,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, -1, -1, 0, -1)",0.0
4,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, -1, -1, 0, 0)",0.0
5,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, -1, -1, 0, 1)",0.0
6,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, -1, -1, 1, -1)",0.0
7,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, -1, -1, 1, 0)",0.0
8,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, -1, -1, 1, 1)",0.0
9,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, -1, 0, -1, -1)",0.0
10,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, -1, 0, -1, 0)",0.0
11,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, -1, 0, -1, 1)",0.0
12,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, -1, 0, 0, -1)",0.0
13,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, -1, 0, 0, 0)",0.0
14,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, -1, 0, 0, 1)",0.0
15,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, -1, 0, 1, -1)",0.0
16,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, -1, 0, 1, 0)",0.0
17,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, -1, 0, 1, 1)",0.0
18,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, -1, 1, -1, -1)",0.0
19,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, -1, 1, -1, 0)",0.0
20,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, -1, 1, -1, 1)",0.0
21,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, -1, 1, 0, -1)",0.0
22,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, -1, 1, 0, 0)",0.0
23,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, -1, 1, 0, 1)",0.0
24,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, -1, 1, 1, -1)",0.0
25,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, -1, 1, 1, 0)",0.0
26,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, -1, 1, 1, 1)",0.0
27,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, 0, -1, -1, -1)",0.0
28,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, 0, -1, -1, 0)",0.0
29,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, 0, -1, -1, 1)",0.0
30,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, 0, -1, 0, -1)",0.0
31,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, 0, -1, 0, 0)",0.0
32,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, 0, -1, 0, 1)",0.0
33,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, 0, -1, 1, -1)",0.0
34,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, 0, -1, 1, 0)",0.0
35,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, 0, -1, 1, 1)",0.0
36,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, 0, 0, -1, -1)",0.0
37,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, 0, 0, -1, 0)",0.0
38,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, 0, 0, -1, 1)",0.0
39,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, 0, 0, 0, -1)",-10.0
40,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, 0, 0, 0, 0)",0.0
41,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, 0, 0, 0, 1)",0.0
42,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, 0, 0, 1, -1)",0.0
43,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, 0, 0, 1, 0)",0.0
44,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, 0, 0, 1, 1)",0.0
45,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, 0, 1, -1, -1)",0.0
46,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, 0, 1, -1, 0)",0.0
47,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, 0, 1, -1, 1)",0.0
48,Rv2021c+Rv2034+Rv2745c+Rv3557c+Rv3911,"(-1, 0, 1, 0, -1)",0.0
