,0
Rv2021c+Rv2034+Rv2745c+Rv3911,0.98
Rv0232+Rv3597c,0.915
Rv1657+Rv3095,0.9133333333333333
Rv2827c+Rv3416,0.8966666666666666
Rv1846c+Rv3160c,0.895
Rv1719+Rv3291c,0.8933333333333333
Rv0042c+Rv0078+Rv0081+Rv0302+Rv0474+Rv1189+Rv2488c+Rv3223c,0.8816666666666667
Rv0827c+Rv1994c+Rv2595,0.8383333333333334
Rv0023+Rv1956+Rv2506+Rv3862c,0.81
Rv0445c+Rv3219,0.7216666666666667
Rv0047c+Rv3183,0.705
Rv1219c+Rv2250c+Rv3249c,0.665
Rv2069,0.5
Rv2642,0.5
Rv1176c,0.5
Rv3050c,0.5
Rv0238,0.5
Rv3246c,0.5
Rv0135c,0.5
Rv0880,0.5
Rv2779c,0.5
Rv2009,0.5
Rv0653c,0.5
Rv3173c,0.5
Rv0195+Rv1675c,0.5
Rv0158,0.5
Rv0967,0.5
Rv0054,0.5
Rv2760c+Rv3167c,0.5
Rv0353+Rv1990c,0.5
Rv1773c+Rv2359,0.5
Rv1186c+Rv3830c,0.5
Rv0330c+Rv1556,0.5
Rv0067c+Rv3855,0.5
Rv0117+Rv0894,0.5
Rv2017,0.5
Rv3124,0.5
Rv3417c,0.5
Rv3833,0.5
Rv0767c,0.5
Rv3849,0.5
Rv1674c,0.5
Rv1460,0.5
Rv3133c,0.5
Rv0891c,0.5
Rv1359,0.5
Rv3414c,0.5
Rv1404,0.5
Rv3557c,0.5
Rv1423,0.5
Rv3676,0.5
Rv1379,0.5
Rv0981--Rv1332--Rv1828,0.5
Rv1049,0.5
Rv3405c,0.5
Rv0324,0.5
Rv0602c,0.5
Rv2011c,0.5
Rv3164c,0.5
Rv0494,0.5
Rv3066,0.5
Rv3260c,0.5
Rv0623,0.5
Rv3082c,0.5
Rv1395,0.5
Rv0022c,0.5
Rv0674,0.5
Rv1473A,0.5
