,0
Rv2642,0.5
Rv0022c,0.8066666666666666
Rv1675c,0.79
Rv3167c,0.8266666666666667
Rv1189,0.5566666666666666
Rv2488c,0.73
Rv1395,0.5266666666666666
Rv0324,0.6716666666666666
Rv3082c,0.6983333333333334
Rv1049,0.7783333333333333
Rv1460,0.6333333333333333
Rv1674c,0.75
Rv0767c,0.8483333333333334
Rv3249c,0.5
Rv2034,0.5
Rv0081,0.5
Rv0232,0.5
Rv0117,0.6366666666666667
Rv3855,0.5
Rv0047c,0.5
Rv0067c,0.5
Rv2359,0.5
Rv1990c,0.5
Rv0474,0.5
Rv2250c,0.5783333333333334
Rv0330c,0.5833333333333334
Rv3830c,0.6
Rv1186c,0.6916666666666667
Rv2506,0.5266666666666666
Rv3066,0.6716666666666666
Rv0623,0.5
Rv1773c,0.5
Rv0078,0.7516666666666667
Rv0494,0.7766666666666666
Rv1719,0.8566666666666667
Rv3164c,0.855
Rv2011c,0.5433333333333333
Rv0602c,0.8683333333333333
Rv2760c,0.76
Rv1657,0.8066666666666666
Rv1473A,0.5
Rv3183,0.8216666666666667
Rv3833,0.5
Rv3405c,0.5
Rv2827c,0.5133333333333333
Rv3911,0.5266666666666666
Rv2017,0.6916666666666667
Rv0674,0.5
Rv1556,0.75
Rv3124,0.83
Rv3862c,0.5
Rv0880,0.5
Rv0195,0.7633333333333333
Rv2009,0.5
Rv0827c,0.46
Rv0894,0.795
Rv0302,0.5
Rv0653c,0.5
Rv3219,0.8183333333333334
Rv0135c,0.6783333333333333
Rv3416,0.5
Rv1219c,0.5
Rv1176c,0.7
Rv2021c,0.4866666666666667
Rv0967,0.6716666666666666
Rv3095,0.5
Rv0158,0.5
Rv2779c,0.4716666666666667
Rv0023,0.5133333333333333
Rv0042c,0.5
Rv3173c,0.5
Rv1846c,0.7233333333333334
Rv2069,0.67
Rv0238,0.605
Rv3050c,0.6833333333333333
Rv3223c,0.5833333333333334
Rv1404,0.67
Rv0445c,0.4633333333333333
Rv1828--Rv0981--Rv1332,0.5
Rv1379,0.48333333333333334
Rv3676,0.5
Rv2595,0.5
Rv1423,0.7283333333333334
Rv1956,0.5
Rv3291c,0.5
Rv3160c,0.5
Rv3849,0.52
Rv3557c,0.5
Rv2745c,0.5
Rv3414c,0.49666666666666665
Rv1359,0.7166666666666667
Rv0891c,0.7216666666666667
Rv3597c,0.5
Rv3133c,0.5
Rv0353,0.5
Rv0054,0.5
Rv1994c,0.5
Rv3417c,0.8
Rv3246c,0.54
Rv3260c,0.5266666666666666
