feature1,Rv0022c,Rv0023,Rv0042c,Rv0047c,Rv0054,Rv0067c,Rv0078,Rv0081,Rv0117,Rv0135c,Rv0158,Rv0195,Rv0232,Rv0238,Rv0302,Rv0324,Rv0330c,Rv0353,Rv0445c,Rv0474,Rv0494,Rv0602c,Rv0623,Rv0653c,Rv0674,Rv0767c,Rv0827c,Rv0880,Rv0891c,Rv0894,Rv0967,Rv1049,Rv1176c,Rv1186c,Rv1189,Rv1219c,Rv1359,Rv1379,Rv1395,Rv1404,Rv1423,Rv1460,Rv1473A,Rv1556,Rv1657,Rv1674c,Rv1675c,Rv1719,Rv1773c,Rv1828--Rv1332--Rv0981,Rv1846c,Rv1956,Rv1990c,Rv1994c,Rv2009,Rv2011c,Rv2017,Rv2021c,Rv2034,Rv2069,Rv2250c,Rv2359,Rv2488c,Rv2506,Rv2595,Rv2642,Rv2745c,Rv2760c,Rv2779c,Rv2827c,Rv3050c,Rv3066,Rv3082c,Rv3095,Rv3124,Rv3133c,Rv3160c,Rv3164c,Rv3167c,Rv3173c,Rv3183,Rv3219,Rv3223c,Rv3246c,Rv3249c,Rv3260c,Rv3291c,Rv3405c,Rv3414c,Rv3416,Rv3417c,Rv3557c,Rv3597c,Rv3676,Rv3830c,Rv3833,Rv3849,Rv3855,Rv3862c,Rv3911
Rv1956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv1990c,0.0,-0.006711409395973176,0.0,0.0,-0.057494517592902465,0.0,0.0,0.22542173110688649,0.2330266149921343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018125411164241653,0.0,-0.013560023231051743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00952337763439031,0.0,0.0,0.0,0.0,-0.010665491157310338,0.07612044664717706,0.0,-0.018125411164241604,-0.05706163598265204,0.0,0.0,0.0,-0.07510577764645883,0.0,0.0,0.0,1.0,0.0,0.06923773432360827,0.0,-0.010665491157310322,-0.012662576310200355,0.11414039602151335,0.0,0.0,0.5734623443633293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02730773068396823,0.11082935305364942,0.0,0.0,0.0,-0.01066549115731033,-0.04096159602595229,0.0,0.0,0.06550496995823116,0.0,0.0,0.0,0.0,0.0,-0.008233590595890709,0.0,0.0,0.0,0.0,0.0,0.0,-0.00952337763439032,0.0,0.0,0.0
Rv1994c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv2009,0.0,-0.09693282805305123,0.0,0.0,0.4493467651439721,0.0,0.0,0.30714755841697616,-0.09183824022076334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22972983183064957,0.0,0.013989092759813216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1375460610810751,0.0,0.0,0.0,0.0,-0.15404159684748125,0.6112838258221759,0.0,-0.26178515720236833,0.3724251051784496,0.0,0.0,0.0,0.40833733867102195,0.0,0.0,0.0,0.06923773432360829,0.0,1.0,0.0,-0.10122733507120205,-0.1828854804956078,0.44959875159207774,0.0,0.0,-0.07244179326244427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033806170189140596,0.6247237975853911,0.0,0.0,0.0,0.11002971203391522,-1.201036432588178e-16,0.0,0.0,0.4193282552753284,0.0,0.0,0.0,0.0,0.0,-0.1189176780021123,0.0,0.0,0.0,0.0,0.0,0.0,-0.13754606108107528,0.0,0.0,0.0
Rv2011c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv2017,0.0,-0.010665491157310287,0.0,0.0,-0.035993408485334374,0.0,0.0,-0.047313500366355954,0.3703161519408646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3415348676176532,0.0,-0.02154902187169185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8929150560368533,0.0,0.0,0.0,0.0,-0.01694915254237284,0.12096743064028946,0.0,0.46498120531078185,0.1313934197242696,0.0,0.0,0.0,0.14200626758057658,0.0,0.0,0.0,-0.010665491157310322,0.0,-0.10122733507120205,0.0,1.0,-0.02012283675411599,0.1264213429861263,0.0,0.0,0.7253382183217325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30377412562192224,-0.04176168644301058,0.0,0.0,0.0,-0.01694915254237285,0.2603778219616483,0.0,0.0,-0.10943610561492047,0.0,0.0,0.0,0.0,0.0,-0.013084477866314332,0.0,0.0,0.0,0.0,0.0,0.0,-0.015134153492150096,0.0,0.0,0.0
Rv2021c,0.0,-0.012662576310200275,0.0,0.0,-0.10847627874930256,0.0,0.0,-0.05617282880414115,0.43965687690218536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48923570972832137,0.0,-0.025584019510760822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01796798390792191,0.0,0.0,0.0,0.0,-0.020122836754116,0.1436182637010238,0.0,0.27986236747654364,0.22191050242670995,0.0,0.0,0.0,0.1685965674945299,0.0,0.0,0.0,-0.012662576310200355,0.0,-0.1828854804956078,0.0,-0.020122836754115993,1.0,-0.1109386050124936,0.0,0.0,-0.022080920281275954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05152214732297732,-0.11425291189844475,0.0,0.0,0.0,-0.02012283675411595,0.3091328839378632,0.0,0.0,0.12358979043822767,0.0,0.0,0.0,0.0,0.0,-0.015534511914884424,0.0,0.0,0.0,0.0,0.0,0.0,-0.017967983907921894,0.0,0.0,0.0
Rv2034,0.0,-0.058799597950476415,0.0,0.0,0.4689990249658171,0.0,0.0,0.2652265431282231,0.12998816455154902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.058715695170010074,0.0,0.012229541801395865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16196331210310733,0.0,0.0,0.0,0.0,-0.09344186220713607,0.6669018971410371,0.0,-0.025354504732504286,0.4603150839508266,0.0,0.0,0.0,0.5992460114972766,0.0,0.0,0.0,0.11414039602151335,0.0,0.44959875159207774,0.0,0.12642134298612634,-0.1109386050124936,1.0,0.0,0.0,0.19903729886263888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4644203640128241,0.30855035784014495,0.0,0.0,0.0,-0.09344186220713642,0.11610509100320604,0.0,0.0,0.4873374013981517,0.0,0.0,0.0,0.0,0.0,-0.07213564069235229,0.0,0.0,0.0,0.0,0.0,0.0,-0.08343564562887344,0.0,0.0,0.0
Rv2069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv2250c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
