index,Rv0353,Rv2642,Rv0767c,Rv3219,Rv2017,Rv0067c,Rv0022c,Rv0445c,Rv1846c,Rv3597c,Rv2250c,Rv1674c,Rv3050c,Rv2034,Rv3223c,Rv3849,Rv2021c,Rv3557c,Rv2069,Rv0894,Rv3855,Rv0602c,Rv3249c,Rv1473A,Rv1675c,Rv1773c,Rv0623,Rv1460,Rv2779c,Rv3246c,Rv3066,Rv0135c,Rv0891c,Rv2488c,Rv3830c,Rv1994c,Rv3291c,Rv2760c,Rv0042c,Rv3095,Rv3133c,Rv1219c,Rv0880,Rv2009,Rv0967,Rv1556,Rv1359,Rv1395,Rv1828,Rv2595,Rv0474,Rv3911,Rv1176c,Rv3183,Rv3260c,Rv0653c,Rv0827c,Rv0195,Rv3414c,Rv2745c,Rv1423,Rv0494,Rv3833,Rv0238,Rv2011c,Rv2359,Rv1186c,Rv1379,Rv3416,Rv1189,Rv0674,Rv1657,Rv0232,Rv2506,Rv0078,Rv3167c,Rv0158,Rv3173c,Rv0023,Rv0047c,Rv2827c,Rv3082c,Rv1332,Rv0054,Rv3160c,Rv3862c,Rv1404,Rv0302,Rv1990c,Rv0981,Rv0117,Rv3417c,Rv1719,Rv0324,Rv3164c,Rv3124,Rv0330c,Rv3676,Rv1956,Rv1049,Rv0081,Rv3405c
AW_plus_1,0,-1,-1,0,-1,-1,-1,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,0,-1,1,1,-1,0,1,-1,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,-1,1,-1,-1,-1,0,-1,0,-1,0,-1,1,-1,0,-1,0,0,1,0,0,0,-1,0,0,-1,-1,0,0,-1,0,-1
AW_neg_1,1,-1,0,0,-1,-1,-1,0,0,-1,0,-1,0,-1,1,1,0,-1,0,-1,0,-1,0,-1,-1,0,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,0,0,0,-1,-1,1,-1,-1,-1,-1,1,0,0,-1,-1,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,1,-1,-1,1,0,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,1,-1,0,-1,1,0,-1,0,-1,-1,1,-1,-1,0,0,-1,0,-1
AW_plus_3,1,-1,-1,0,0,-1,-1,-1,0,-1,-1,0,0,-1,1,0,0,0,0,0,-1,-1,0,-1,-1,-1,0,-1,0,0,-1,0,0,-1,-1,0,0,-1,-1,1,1,0,-1,0,0,0,-1,-1,0,1,0,-1,0,-1,0,-1,0,1,0,0,0,-1,-1,0,-1,1,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,0,-1,-1,-1,0,0,0,-1,1,0,0,0,0,0,-1,-1,1,0,-1,0,0,-1,1,-1
AW_neg_3,0,-1,-1,0,0,0,-1,0,0,-1,-1,-1,0,-1,0,1,0,0,0,-1,0,-1,0,0,-1,-1,0,0,0,1,-1,0,0,-1,0,0,0,-1,0,0,1,1,-1,0,-1,0,-1,-1,1,0,0,0,0,-1,1,-1,0,1,0,0,0,-1,-1,0,-1,1,-1,-1,1,-1,-1,-1,0,0,-1,-1,0,0,0,-1,0,-1,1,-1,0,-1,0,0,1,0,0,0,-1,0,1,-1,-1,0,0,-1,1,-1
AW_plus_4,0,-1,0,0,-1,1,-1,0,0,0,-1,-1,0,-1,1,1,0,-1,0,0,0,-1,0,1,-1,-1,0,0,-1,1,-1,-1,0,-1,-1,-1,1,-1,0,0,1,-1,-1,0,-1,0,-1,-1,1,1,0,-1,-1,-1,1,-1,0,0,0,0,-1,-1,-1,0,1,1,-1,-1,1,0,-1,-1,0,0,-1,-1,0,-1,0,0,-1,-1,1,-1,1,0,1,-1,1,1,0,0,-1,0,1,1,-1,0,0,0,0,-1
AW_neg_4,0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,-1,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,0,0,1,0,-1,0,-1,0,-1,0,-1,0,0,1,0,-1,0,0,0,-1,-1,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,-1,-1,0,-1,-1,-1,0,0,-1,0,0,0,0,0,0,-1,0,0,0,-1,0,0,1,0,0,-1,-1,0,0,1,-1,0,0,-1,1,-1
