,feature_set,case,num_zero
73,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 0, -1, -1, 0)",0.0
74,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 0, -1, -1, 1)",0.0
75,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 0, -1, 0, -1)",0.0
76,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 0, -1, 0, 0)",0.0
77,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 0, -1, 0, 1)",0.0
78,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 0, -1, 1, -1)",-10.0
79,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 0, -1, 1, 0)",0.0
80,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 0, -1, 1, 1)",0.0
81,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 0, 0, -1, -1)",0.0
82,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 0, 0, -1, 0)",0.0
83,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 0, 0, -1, 1)",0.0
84,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 0, 0, 0, -1)",-10.0
85,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 0, 0, 0, 0)",0.0
86,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 0, 0, 0, 1)",0.0
87,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 0, 0, 1, -1)",0.0
88,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 0, 0, 1, 0)",0.0
89,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 0, 0, 1, 1)",0.0
90,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 0, 1, -1, -1)",0.0
91,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 0, 1, -1, 0)",0.0
92,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 0, 1, -1, 1)",0.0
93,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 0, 1, 0, -1)",0.0
94,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 0, 1, 0, 0)",0.0
95,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 0, 1, 0, 1)",0.0
96,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 0, 1, 1, -1)",0.0
97,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 0, 1, 1, 0)",0.0
98,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 0, 1, 1, 1)",0.0
99,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 1, -1, -1, -1)",0.0
100,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 1, -1, -1, 0)",0.0
101,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 1, -1, -1, 1)",0.0
102,Rv0158+Rv0653c+Rv1176c+Rv2745c+Rv3082c,"(-1, 1, -1, 0, -1)",0.0
