GENE_ID,TB_HIGH1,TB_HIGH2,TB_HIGH3,TB_LOW1,TB_LOW2,TB_LOW3
Rv0639,675.9332221,547.2715014,704.6557594,624.6996621,592.7586395,735.8197675
Rv0640,259.2476799,139.1633246,223.6148593,60.68511003,191.9408928,176.2051771
Rv0641,671.7348791,924.1070209,873.7116668,1126.244248,887.7266291,928.3402388
Rv0642c,168.9833055,162.6178175,155.9924964,203.4736042,122.7857182,101.1548239
Rv0643c,69.2726594,48.47261869,43.80084873,62.46996621,0,26.10447069
Rv0644c,12.59502898,31.27265722,40.72710496,32.12741119,60.68719404,13.05223534
Rv0645c,23.09088647,14.07269575,14.60028291,19.63341795,15.52463103,19.57835302
Rv0646c,37.78508695,106.3270346,57.6326957,0,76.21182508,39.15670603
Rv0649,3.148757246,12.50906289,0.768435943,0,0,0
Rv0651,45.13218719,92.2543388,29.96900176,83.88824034,91.73645611,50.57741196
Rv0652,19.94212922,15.63632861,42.26397684,0,98.79310658,13.05223534
Rv0655,371.553355,567.5987286,564.8004178,392.668359,406.4630671,460.0912959
Rv0656c,25.19005797,6.254531444,15.36871885,23.20313031,0,13.05223534
Rv0657c,0,3.127265722,0,0,0,0
Rv0659c,78.71893114,153.2360204,76.07515832,76.74881563,49.39655329,132.1538829
Rv0660c,113.3552608,117.2724646,138.3184697,157.0673436,84.67980564,61.99811788
Rv0661c,0,0,3.07374377,0,2.822660188,0
Rv0662c,0,0,4.610615656,0,0,14.68376476
Rv0663,124.9007041,95.38160452,127.5603665,121.3702201,258.2734072,154.9952947
Rv0664,7.34710024,0,2.305307828,0,0,0
Rv0665,8.396685988,3.127265722,1.536871885,0,33.87192226,0
Rv0667,6894.728782,5216.279224,8482.764371,5665.133507,6270.539608,5658.144021
Rv0668,5325.598088,5099.00676,6510.189306,3876.707617,5405.39426,4845.642371
Rv0671,107.0577464,96.94523738,115.2653914,96.38223358,64.92118432,52.20894137
Rv0672,136.4461473,111.0179331,165.2137277,116.0156515,94.5591163,30.99905894
Rv0673,55.62804467,20.32722719,49.17990033,46.40626061,83.26847555,48.94588254
Rv0675,14.69420048,10.94543003,36.1164893,19.63341795,0,35.89364719
Rv0676c,619.2555916,575.4168929,850.6585885,956.6829111,1414.152754,1264.435299
Rv0677c,160.5866195,195.4541076,155.9924964,224.8918784,307.6699605,479.6696489
Rv0682,110.2065036,53.16351728,99.89667254,217.7524536,148.1896599,128.890824
Rv0683,136.4461473,62.54531444,92.21231311,240.955584,170.7709414,26.10447069
Rv0684,1103.114622,773.9982662,1037.388523,1376.124113,1267.374424,1246.488475
Rv0685,691.6770083,501.9261484,752.2987878,572.938833,890.5492893,1067.020239
Rv0693,316.9748961,303.344775,331.1958913,173.1310492,239.926116,199.046589
Rv0694,361.0574975,487.8534526,376.5336119,292.7164131,254.0394169,195.7835302
Rv0701,632.9002064,675.489396,830.679254,515.8234353,811.514804,1122.49224
Rv0702,595.1151194,475.3443898,582.4744445,787.1215742,870.790668,912.0249446
Rv0703,92.36354587,89.12707308,88.3701334,153.4976313,180.650252,96.26023566
Rv0704,585.6688477,619.198613,717.7191704,446.2140444,674.6157849,1037.65271
Rv0705,224.6113502,234.5449292,195.9511654,199.9038919,393.7610962,127.2592946
Rv0706,327.4707535,309.5993065,355.0174055,257.0192895,314.726611,239.8348244
Rv0707,456.5698006,465.9625926,547.1263911,746.0698822,489.7315426,487.827296
Rv0708,96.56188887,211.0904362,162.9084198,399.8077837,255.450747,154.9952947
Rv0709,43.03301569,87.56344022,57.6326957,21.41827413,62.09852414,88.10258857
Rv0710,177.3799915,200.1450062,197.4880373,189.1947548,285.088679,468.2489429
Rv0711,336.9170253,237.6721949,402.6604339,373.0349411,489.7315426,391.5670603
Rv0718,99.71064611,126.6542617,104.5072882,205.2584604,138.3103492,184.3628242
Rv0719,200.470878,145.4178561,247.4363735,349.8318108,352.8325235,269.202354
Rv0720,56.67763042,60.98168158,89.90700529,28.55769884,112.9064075,92.99717682
Rv0721,360.0079118,420.6172396,386.5232791,571.1539768,376.8251351,314.8851777
Rv0722,9.446271737,20.32722719,21.51620639,39.2668359,0,13.05223534
Rv0723,181.5783345,281.453915,271.2578877,317.7043996,392.3497661,538.4047079
Rv0724,1390.701117,1269.669883,1498.450088,1119.104823,1153.056687,1050.704945
Rv0727c,0,3.127265722,0,0,8.467980564,16.31529418
Rv0728c,8.396685988,9.381797166,0,23.20313031,8.467980564,13.05223534
Rv0729,38.8346727,10.94543003,20.74777045,0,9.879310658,9.789176508
Rv0732,89.21478863,35.9635558,93.749185,19.63341795,121.3743881,115.8385887
Rv0733,30.43798671,29.70902436,43.03241279,42.83654826,63.50985423,78.31341206
Rv0734,55.62804467,31.27265722,23.05307828,189.1947548,5.645320376,26.10447069
Rv0735,53.52887318,28.1453915,59.93800352,123.1550762,122.7857182,120.7331769
Rv0736,34.6363297,39.09082153,50.71677221,64.25482239,60.68719404,91.3656474
Rv0742,3.148757246,18.76359433,14.60028291,32.12741119,0,0
Rv0746,33.58674395,35.9635558,20.74777045,21.41827413,33.87192226,65.26117672
Rv0747,499.6028163,694.2529903,403.4288699,476.5565994,302.0246401,318.1482365
Rv0748,3.148757246,6.254531444,6.147487541,14.27884942,0,6.526117672
Rv0749,9.446271737,6.254531444,13.83184697,35.69712355,39.51724263,14.68376476
Rv0751c,40.93384419,64.1089473,56.09582381,0,80.44581536,19.57835302
Rv0752c,44.08260144,26.58175864,58.40113164,16.0637056,31.04926207,61.99811788
Rv0753c,123.8511183,123.526996,89.13856934,151.7127751,69.15517461,127.2592946
Rv0754,19.94212922,12.50906289,26.89525799,7.13942471,19.75862132,61.99811788
Rv0755c,123.8511183,76.61801019,127.5603665,67.82453474,160.8916307,76.68188264
Rv0761c,99.71064611,68.79984589,68.39079889,32.12741119,80.44581536,84.83952973
Rv0764c,53.52887318,53.16351728,33.81118148,46.40626061,1.411330094,52.20894137
Rv0766c,35.68591545,57.85441586,44.56928467,87.45795269,28.22660188,53.84047079
Rv0772,22.04130072,29.70902436,23.82151422,82.10338416,40.92857273,0
Rv0773c,36.7355012,53.16351728,39.19023307,30.34255502,138.3103492,61.99811788
Rv0777,119.6527753,111.0179331,106.812596,91.02766505,149.60099,141.9430594
Rv0778,57.72721617,82.87254163,56.09582381,21.41827413,108.6724172,114.2070593
Rv0780,27.28922946,14.07269575,32.27430959,0,19.75862132,8.15764709
Rv0783c,64.02473066,43.78172011,49.94833627,66.03967856,59.27586395,35.89364719
Rv0798c,25.19005797,21.89086005,8.452795369,14.27884942,5.645320376,27.7360001
Rv0800,45.13218719,7.818164305,31.50587365,0,57.86453385,0
Rv0803,139.5949046,126.6542617,94.51762094,94.5973774,155.2463103,128.890824
Rv0806c,70.32224515,65.67258016,83.75951775,51.76082915,71.97783479,110.9440004
Rv0808,561.5283755,627.0167773,605.5275228,287.3618446,475.6182417,411.1454133
Rv0809,94.46271737,134.472426,82.22264586,0,93.1477862,65.26117672
Rv0815c,11.54544323,3.127265722,11.52653914,0,0,0
Rv0816c,15.74378623,17.19996147,6.915923484,0,0,26.10447069
Rv0819,62.97514491,128.2178946,73.76985049,103.5216583,88.91379592,135.4169417
Rv0820,16.79337198,43.78172011,35.34805336,0,90.32512602,57.10352963
Rv0821c,506.9499166,497.2352498,451.0718983,376.6046534,361.3005041,316.5167071
Rv0824c,1577.52738,1566.760127,1798.140106,926.3403561,1480.485269,1616.845653
Rv0827c,4.198342994,3.127265722,24.58995016,0,23.9926116,0
Rv0832,27.28922946,21.89086005,30.7374377,32.12741119,25.40394169,17.9468236
Rv0833,15.74378623,78.18164305,29.20056582,42.83654826,35.28325235,42.41976487
Rv0834c,142.7436618,231.4176634,179.0455746,310.5649749,125.6083784,83.20800031
Rv0835,22.04130072,10.94543003,26.89525799,17.84856177,19.75862132,21.20988243
Rv0838,48.28094443,39.09082153,56.86425975,14.27884942,36.69458244,104.4178827
Rv0840c,94.46271737,48.47261869,105.2757241,41.05169208,63.50985423,86.47105915
Rv0844c,61.92555916,98.50887025,36.88492525,94.5973774,39.51724263,53.84047079
Rv0847,1.049585749,1.563632861,16.1371548,0,11.29064075,52.20894137
Rv0848,34.6363297,50.03625155,46.10615656,78.53367181,22.5812815,58.73505905
Rv0852,1.049585749,10.94543003,7.684359426,48.19111679,0,0
Rv0853c,36.7355012,54.72715014,29.20056582,0,55.04187367,9.789176508
Rv0855,18.89254347,9.381797166,33.81118148,12.49399324,28.22660188,0
Rv0858c,9.446271737,9.381797166,8.452795369,49.97597297,12.70197085,27.7360001
Rv0859,309.6277958,350.2537609,327.3537116,271.298139,285.088679,481.3011783
Rv0861c,96.56188887,142.2905904,83.75951775,10.70913706,127.0197085,132.1538829
Rv0865,28.33881521,82.87254163,39.95866902,0,79.03448526,32.63058836
Rv0866,15.74378623,14.07269575,13.06341102,94.5973774,2.822660188,6.526117672
Rv0867c,90.26437438,143.8542232,99.1282366,269.5132828,180.650252,226.7825891
Rv0868c,25.19005797,12.50906289,14.60028291,0,5.645320376,6.526117672
Rv0871,88.16520288,148.5451218,74.53828643,12.49399324,36.69458244,52.20894137
Rv0872c,294.9335953,250.1812578,293.5425301,142.7884942,220.1674947,185.9943536
Rv0873,218.3138357,125.0906289,211.3198842,285.5769884,207.4655238,156.6268241
Rv0878c,13.64461473,0,5.379051598,39.2668359,1.411330094,22.84141185
Rv0884c,152.1899335,217.3449677,152.9187526,219.5373098,141.1330094,181.0997654
Rv0886,50.38011593,65.67258016,55.32738787,0,35.28325235,42.41976487
Rv0889c,147.9915905,121.9633632,132.9394181,74.96395945,160.8916307,283.8861187
Rv0896,455.5202149,353.3810266,454.1456421,364.1106602,749.4162799,562.8776492
Rv0899,10.49585749,12.50906289,13.06341102,0,8.467980564,9.789176508
Rv0902c,94.46271737,106.3270346,82.9910818,101.7368021,79.03448526,104.4178827
