GENE_ID,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25
Rv1647,7.201610956,7.02952364,6.836681486,6.742466764,6.640899368,6.532630065,6.600763161,6.507654738,7.219954151,7.138867493,6.300050588,7.27465909,6.71286928,6.675351747,6.939746264,6.924896932,7.255966164,7.115733852,7.448115831,7.605215341,7.515889766,7.497671355,7.72858706,7.756223129,7.774381135,7.867005471
Rv1648,7.081612712,7.17800159,7.054195456,7.251165875,7.169934728,6.901171464,6.982092053,6.709576301,7.376328123,7.330232412,6.962523117,6.930349365,6.688504089,6.888661814,6.515924459,6.867812506,7.199737724,7.146050357,6.972167518,7.558239037,7.527368578,7.460911409,7.557915262,7.520570059,7.621457764,7.591304195
Rv1649,7.800581926,8.069830079,8.109873994,8.284578926,8.288491375,8.142093981,8.236330166,8.063697833,8.422348576,8.123941802,8.117527474,8.082571239,7.631490224,7.671286936,7.530616728,7.808550355,7.806110843,7.879217448,7.578428129,8.376574648,8.20393633,8.230545447,7.950914131,8.208869512,8.259723463,8.607129105
Rv1650,9.230902306,9.382058684,9.070996093,9.253397949,9.336077745,9.298307917,9.233936175,8.915520684,9.306760209,9.158117143,8.627319855,8.992231771,8.494110131,8.451609862,7.939832647,8.335958603,8.606766991,8.402437829,8.523272537,9.337430983,9.213084963,9.150810058,8.872051466,9.034638099,9.354761371,9.548622309
Rv1651c,8.840459214,8.752694965,8.552853119,8.986348425,8.863525898,8.98173193,8.973507689,8.827734143,10.13339469,9.548961506,8.839291866,9.846488885,9.210318315,9.241894291,9.528821715,9.288918849,9.670495997,9.632351068,9.762783039,10.26601887,10.06335374,10.134621,8.936400435,8.788834734,8.930948992,8.69321556
Rv1652,7.521577503,7.272909676,6.356294647,6.612626825,6.308736629,6.555106633,6.706188281,6.489479468,8.255391526,8.013853871,6.511613358,8.153573415,7.361400101,7.303172512,7.240084014,8.081507259,8.819706944,8.785584262,10.30796206,8.840141514,8.43936626,8.580354613,8.667710192,8.218501698,8.187745812,6.827235195
Rv1653,7.720781296,7.932420911,7.723667672,7.813688382,7.651252976,7.860401172,8.019802324,7.39619319,9.024616631,8.704966893,7.718309845,8.828298117,8.320593617,8.300455265,8.26891454,9.043940089,9.745116344,10.78313023,12.37179267,9.684842148,8.999741783,9.174709475,10.13134882,9.747063866,9.464683581,7.870131744
Rv1654,7.434475101,7.565806301,7.142374428,7.514972217,7.450695201,7.293393925,7.281319753,7.031887909,7.115984983,7.36827884,7.209509995,7.086842079,7.543951254,7.675917648,7.512792753,8.443100706,8.900369309,10.08480988,11.93333527,8.218160556,7.591656002,7.779988389,9.612248376,8.831113699,8.778494039,7.161086235
Rv1655,7.920180139,7.869645418,7.426712353,7.848098599,7.802770515,7.78882542,7.769321969,7.230989505,8.907494415,8.485362181,7.331860478,8.464050397,8.082903362,7.874041626,7.789144225,8.981747427,9.625797804,10.77137896,12.59692491,9.618176332,8.967665719,9.120180278,10.03738319,9.38249781,9.251269203,7.85555219
Rv1656,7.076940269,7.081596622,6.870335253,7.219269971,7.218102012,7.365455523,7.21124978,6.54333245,8.575095465,7.925398953,6.579054896,8.253925815,7.195726331,6.952090251,7.455563185,8.06601852,8.933796335,9.255978587,11.08166743,8.884882125,8.457480645,8.500832206,8.81219503,8.456325327,8.352896451,7.415074232
Rv1657,6.087586597,6.281140044,5.22394061,6.079051966,5.991351209,6.028455674,5.949772337,5.131553208,7.809648335,7.399204675,5.167200287,7.67132439,5.919772351,5.654448948,6.068020846,7.091736002,7.998505963,8.032851149,9.485098758,8.215625182,7.858662598,8.057088489,7.525929163,7.094458842,6.970375835,5.711897738
Rv1658,8.307844601,8.723469265,8.666462584,8.885408274,8.784922604,8.618666963,8.657737811,8.468134974,8.403544881,8.663281516,8.55099409,8.384024155,8.59773294,8.605635956,8.642112005,9.335988382,9.548616366,10.25817025,11.38968425,8.574524905,8.221709516,8.443088677,9.613473222,9.470095841,9.25753692,8.366001182
Rv1659,8.022862807,8.076261131,7.248560028,7.595840059,7.47910264,7.460652543,7.383368114,7.074616678,8.793283735,8.416720029,6.979262421,8.527800634,7.389348258,7.19669739,7.065291544,8.123520129,8.503468516,8.762623656,9.714237932,9.165777492,8.894172543,8.897803879,7.930277186,7.80296311,7.805808577,7.161086235
Rv1660,7.377480001,7.350408287,6.945819938,7.192666721,7.17694299,7.201881988,6.982092053,7.019274417,8.397222122,7.807164597,6.979262421,8.275309167,7.217606448,7.356337657,7.502881468,7.701194359,8.11017299,7.96718825,8.169791727,8.571089542,8.362944035,8.440021415,7.672937588,7.484222257,7.466213939,7.451530783
Rv1661,9.313877647,9.296514148,8.170200906,8.13161238,8.260014502,8.152093067,8.301541126,8.158772261,10.93998772,10.44201605,8.674929126,10.99731051,8.726572487,8.775088607,8.463523762,9.410306484,10.24262271,10.20077447,9.004059503,11.37456685,11.29695971,11.36216579,7.893436595,7.550111647,7.345945012,8.077465966
Rv1662,8.485283696,8.529555166,7.475342421,7.463983864,7.298708774,7.249633361,7.299027174,7.368614917,10.30393175,9.817156621,8.084980241,10.44221182,8.091210033,8.067768807,8.005005076,8.729070426,9.61539442,9.551844767,7.926187502,10.82257054,10.74265926,10.86193438,7.588912135,7.199451844,6.936702403,7.293662387
Rv1663,8.169966676,7.349241494,7.484161046,7.419640431,7.028529759,7.634424123,7.18076234,7.248074183,8.667971514,8.218109635,7.480357015,8.941039162,7.679952666,7.597363092,7.992516061,8.085443466,8.569527857,8.562221277,7.861110076,9.07163,9.149509265,9.191221651,8.042698045,7.826102861,7.382534242,7.629089997
Rv1664,8.338713049,8.234134469,7.768747647,7.848098599,7.636634366,8.020980474,7.497611572,7.89444669,9.757879961,9.158601634,7.753375677,9.815058353,8.103289321,8.053971439,8.112976053,8.861112123,9.092636933,9.209196572,8.240710251,10.11466658,10.08846818,10.19437905,8.309622107,8.239550122,7.648293837,7.891974857
Rv1665,7.146820664,6.919108277,6.743771544,7.14577887,7.346618425,7.179028981,7.241106262,7.15308322,7.681955205,7.494515163,7.107095092,7.703230043,7.15095375,7.310506233,7.449931278,7.328426321,7.242508674,7.292938392,7.359981744,7.905052708,7.938848847,7.75279429,7.073824813,6.744958465,6.645279675,6.902094295
Rv1666c,7.335072926,7.199387147,6.581998978,6.780912824,6.879681667,6.739120431,6.842435176,6.511690425,6.924540233,6.989747964,6.703995175,7.079206084,6.604388014,6.779949963,6.538398191,6.358722168,6.874925961,6.679416673,6.647129117,7.477990694,7.634745958,7.508365133,6.488239265,6.702717588,6.647462406,6.961414375
Rv1667c,6.211378887,6.111026586,4.964724127,5.627294657,5.281295653,5.572867769,5.521364098,5.482686963,6.89202329,6.612895275,5.265186921,6.601561671,5.58508974,5.736364962,5.462772913,5.431724899,5.663069399,5.546723114,4.984691489,7.112066941,7.026696284,6.768392282,5.838550082,5.787076323,5.97816151,6.018175457
Rv1668c,7.475415819,7.042719149,6.518552977,6.697904607,6.487166186,6.720369539,6.555719583,6.590634671,7.539945497,7.473872543,6.455089798,7.569154409,6.647173843,6.834949586,6.306189996,6.585114731,6.648762603,6.200207208,6.285794362,7.926550178,7.759229312,7.787247786,6.831562145,6.887948755,7.118682562,7.133734214
Rv1669,4.614477403,3.945341419,4.433583675,3.73706007,3.724901815,3.614486233,4.018148322,4.28878359,5.281805767,4.928927325,4.29176499,5.289574526,4.71269393,4.482298665,4.775168902,4.698081459,4.999386786,5.108626374,4.894616568,5.740697994,5.684830275,5.710710887,4.75047558,4.8762808,4.697995854,4.403194912
Rv1670,5.126755808,4.233935968,3.408398834,4.260100094,3.852451928,3.242768395,3.743566228,3.758134387,5.303820994,5.356880062,4.20680236,5.462189996,4.869070049,4.958969054,4.784911194,4.90890377,5.491651853,5.029525506,5.002050754,5.972065012,6.110114744,6.093041298,4.841705463,4.502363091,4.272191493,4.017315131
Rv1671,4.760578942,4.540447728,4.964724127,3.825960549,4.361465777,4.086628765,4.018148322,4.421766682,5.723241986,5.253514138,4.302221647,5.56676574,4.492097972,4.340971211,4.543708637,4.772751236,5.297085517,5.412846805,4.737666606,6.2663058,6.27528084,6.303438215,4.863639192,4.630077543,4.31941129,3.668971414
Rv1672c,8.041327945,7.509892822,7.684534944,7.605236605,7.600654997,7.713512392,7.746881813,7.923573163,8.248986334,8.097197306,7.561685447,8.06496186,7.796129389,7.824514709,7.860168294,7.832426275,7.911911742,7.722046254,7.618178368,8.362184663,8.312417257,8.047344317,7.180745077,6.812722596,6.689114327,6.530013722
Rv1673c,5.937938722,5.706607808,5.18548413,4.681922196,4.915975351,5.306149908,4.401973308,4.703811337,6.539932662,6.254530463,4.799435555,6.239719179,5.17082372,5.166681721,5.605582746,5.461882439,6.304755244,6.133683248,5.782466247,6.907459852,7.242846728,7.086364144,5.997341596,5.71650171,5.58626886,5.233506942
Rv1674c,5.504030273,4.776601648,4.435920065,3.71230146,3.429996726,3.95064055,3.566226562,3.87007343,5.723241986,5.935564955,4.20680236,6.301642317,4.116348292,4.252599941,4.543708637,4.425945242,5.779464339,5.735482332,4.949333477,6.806722817,6.886657235,6.712207831,5.003206154,4.760494541,4.552047028,4.863313958
Rv1675c,5.802816792,4.897739604,4.224594176,3.73706007,4.245098144,3.792332004,3.900689477,4.472172644,6.391036467,5.461278495,3.743169638,6.072178599,4.308582361,4.011039488,4.412377492,4.486147758,5.244048344,5.254267644,4.655733303,6.749122032,6.771140076,6.528041503,4.973847886,4.775262395,4.632767973,4.460561942
Rv1676,8.181111733,8.376423216,8.805136589,8.572258799,8.744096099,8.753690098,8.695804674,8.92059904,7.528420039,8.09369603,9.043324705,7.701380004,8.893690186,9.05993793,8.564031567,8.629312438,8.203419167,8.333784404,8.124930741,6.988051909,6.952000771,7.124050732,7.898757485,7.914691031,8.160476474,8.319722366
Rv1677,7.766103636,7.721613249,8.140352752,8.165678793,8.311039379,8.081906451,8.130421822,8.131913839,6.882448851,7.273455492,8.353291028,7.061417532,8.103289321,8.186758896,7.793974322,7.793016563,7.187387126,7.357240522,7.716097836,6.308619205,6.483065623,6.544250188,7.286013035,7.491832861,7.512813081,7.84636708
Rv1678,8.010420096,7.495776671,7.743657556,8.730491878,8.446565837,8.495090544,8.511837998,8.392954178,8.990467396,8.736365643,8.686365164,8.723295123,8.731945354,8.798895047,8.528793002,8.567415514,8.420876973,8.006962331,8.143013485,8.963126573,8.716324731,8.819817677,7.659803066,7.393165609,7.573607156,7.942109939
