index,siglvl,prior_prob,num_sample,num_pos,instance_str,__col_key__,index
Rv0067c[0]+Rv1144[0]+Rv3350c[-1],0.0007962623999999696,0.24,5,5,,1,Rv0067c[0]+Rv1144[0]+Rv3350c[-1]
Rv0068[-1]+Rv1120c[-1],0.0002898649939967468,0.24,8,7,,1,Rv0068[-1]+Rv1120c[-1]
Rv0068[-1]+Rv1200[0],8.937763270089327e-05,0.24,11,9,,1,Rv0068[-1]+Rv1200[0]
Rv0069c[0]+Rv0574c[-1],3.6958591609348446e-07,0.24,13,12,,1,Rv0069c[0]+Rv0574c[-1]
Rv0069c[0]+Rv0574c[-1]+Rv2145c[0],0.0002898649939967468,0.24,8,7,,1,Rv0069c[0]+Rv0574c[-1]+Rv2145c[0]
Rv0069c[0]+Rv0574c[-1]+Rv2145c[1],0.0007962623999999696,0.24,5,5,,1,Rv0069c[0]+Rv0574c[-1]+Rv2145c[1]
Rv0069c[0]+Rv1120c[-1],0.0002898649939967468,0.24,8,7,,1,Rv0069c[0]+Rv1120c[-1]
Rv0069c[0]+Rv1556[-1],0.0007962623999999696,0.24,5,5,,1,Rv0069c[0]+Rv1556[-1]
Rv0069c[0]+Rv2964[0]+Rv3246c[1]+Rvnt31[0],5.452690763019241e-06,0.24,11,10,,1,Rv0069c[0]+Rv2964[0]+Rv3246c[1]+Rvnt31[0]
Rv0069c[0]+Rv3055[-1],6.492847576988758e-05,0.24,17,12,,1,Rv0069c[0]+Rv3055[-1]
Rv0078[-1]+Rv0462[1]+Rv2530A[0],0.0007962623999999696,0.24,5,5,,1,Rv0078[-1]+Rv0462[1]+Rv2530A[0]
Rv0078[-1]+Rv0574c[-1]+Rv2162c[0],0.0007962623999999696,0.24,5,5,,1,Rv0078[-1]+Rv0574c[-1]+Rv2162c[0]
Rv0081[0]+Rv0100[-1]+Rv0879c[0]+Rv3653[-1],0.0007962623999999696,0.24,5,5,,1,Rv0081[0]+Rv0100[-1]+Rv0879c[0]+Rv3653[-1]
Rv0081[0]+Rv0117[-1]+Rv0682[0],0.0007962623999999696,0.24,5,5,,1,Rv0081[0]+Rv0117[-1]+Rv0682[0]
Rv0081[0]+Rv0379[0]+Rv1519[-1],0.0007962623999999696,0.24,5,5,,1,Rv0081[0]+Rv0379[0]+Rv1519[-1]
Rv0081[0]+Rv0849[-1]+Rv1278[0],0.0007962623999999696,0.24,5,5,,1,Rv0081[0]+Rv0849[-1]+Rv1278[0]
Rv0081[0]+Rv0879c[0]+Rv1084[0]+Rv2304c[-1],0.0007962623999999696,0.24,5,5,,1,Rv0081[0]+Rv0879c[0]+Rv1084[0]+Rv2304c[-1]
Rv0081[0]+Rv1008[-1]+Rv3601c[0],0.0007962623999999696,0.24,5,5,,1,Rv0081[0]+Rv1008[-1]+Rv3601c[0]
Rv0081[0]+Rv1200[0]+Rv1706A[-1],0.0007962623999999696,0.24,5,5,,1,Rv0081[0]+Rv1200[0]+Rv1706A[-1]
Rv0081[0]+Rv1519[-1],0.0007962623999999696,0.24,5,5,,1,Rv0081[0]+Rv1519[-1]
Rv0081[0]+Rv1519[-1]+Rv2795c[0]+Rv2960c[0],0.0007962623999999696,0.24,5,5,,1,Rv0081[0]+Rv1519[-1]+Rv2795c[0]+Rv2960c[0]
Rv0081[0]+Rv1790[-1]+Rv3070[0],0.0007962623999999696,0.24,5,5,,1,Rv0081[0]+Rv1790[-1]+Rv3070[0]
Rv0090[-1]+Rv0115[0]+Rv2416c[-1]+Rvnt37[-1],0.0007962623999999696,0.24,5,5,,1,Rv0090[-1]+Rv0115[0]+Rv2416c[-1]+Rvnt37[-1]
Rv0090[-1]+Rv0115[0]+Rvnt37[-1],0.0007962623999999696,0.24,5,5,,1,Rv0090[-1]+Rv0115[0]+Rvnt37[-1]
Rv0090[-1]+Rv0304c[0]+Rv1566c[0],0.00019301039960328836,0.24,16,11,,1,Rv0090[-1]+Rv0304c[0]+Rv1566c[0]
Rv0090[-1]+Rv0305c[0]+Rv0879c[0]+Rv1268c[-1],0.00042782725996470816,0.24,17,11,,1,Rv0090[-1]+Rv0305c[0]+Rv0879c[0]+Rv1268c[-1]
Rv0090[-1]+Rv0335c[-1]+Rv2139[0]+Rvnt28[0],0.00030681952772160237,0.24,10,8,,1,Rv0090[-1]+Rv0335c[-1]+Rv2139[0]+Rvnt28[0]
Rv0094c[-1]+Rv2382c[-1]+Rvnt42[0],2.5594676828055718e-05,0.24,12,10,,1,Rv0094c[-1]+Rv2382c[-1]+Rvnt42[0]
Rv0100[-1]+Rv0115[0]+Rv0912[0]+Rv1818c[0],0.0007962623999999696,0.24,5,5,,1,Rv0100[-1]+Rv0115[0]+Rv0912[0]+Rv1818c[0]
Rv0100[-1]+Rv0115[0]+Rv1818c[0],0.00030681952772160237,0.24,10,8,,1,Rv0100[-1]+Rv0115[0]+Rv1818c[0]
Rv0100[-1]+Rv0326[-1]+Rv1200[0],0.0007962623999999696,0.24,5,5,,1,Rv0100[-1]+Rv0326[-1]+Rv1200[0]
Rv0100[-1]+Rv1006[0]+Rvnt38[0],0.0007962623999999696,0.24,5,5,,1,Rv0100[-1]+Rv1006[0]+Rvnt38[0]
