GENE_ID,Start,End,Strand,Length
Rv0350,419835,421712,+,1877
Rv0351,421709,422416,+,707
Rv0352,422452,423639,+,1187
Rv0353,423639,424019,+,380
Rv0354c,424269,424694,-,425
Rv0355c,424777,434679,-,9902
Rv0356c,434830,435474,-,644
Rv0357c,435471,436769,-,1298
Rv0358,436860,437507,+,647
Rv0359,437518,438297,+,779
Rv0360c,438302,438739,-,437
Rv0361,438822,439649,+,827
Rv0362,439871,441253,+,1382
Rv0363c,441265,442299,-,1034
Rv0364,442395,443078,+,683
Rv0365c,443067,444197,-,1130
Rv0366c,444222,444815,-,593
Rv0367c,444844,445233,-,389
Rv0368c,445314,446525,-,1211
Rv0369c,446531,447046,-,515
Rv0370c,447147,448043,-,896
Rv0371c,448040,448633,-,593
Rv0372c,448630,449385,-,755
Rv0373c,449404,451803,-,2399
Rv0374c,451800,452279,-,479
Rv0375c,452294,453154,-,860
Rv0376c,453230,454372,-,1142
Rv0377,454421,455386,+,965
Rv0378,455637,455858,+,221
Rv0379,455977,456192,+,215
Rv0380c,456268,456819,-,551
Rv0381c,456915,457823,-,908
Rv0382c,457841,458380,-,539
Rv0383c,458461,459315,-,854
Rv0384c,459456,462002,-,2546
Rv0385,462135,463307,+,1172
Rv0386,463411,466668,+,3257
Rv0387c,466672,467406,-,734
Rv0388c,467459,468001,-,542
Rv0389,468335,469594,+,1259
Rv0390,469591,470013,+,422
Rv0391,470010,471230,+,1220
Rv0392c,471227,472639,-,1412
Rv0393,472781,474106,+,1325
Rv0394c,474122,474841,-,719
Rv0395,474940,475344,+,404
Rv0396,475350,475742,+,392
Rv0397,475816,476184,+,368
Rv0398c,476679,477320,-,641
Rv0399c,477327,478556,-,1229
Rv0400c,478566,479753,-,1187
Rv0401,479789,480160,+,371
Rv0402c,480355,483231,-,2876
Rv0403c,483228,483656,-,428
Rv0404,483977,485734,+,1757
Rv0405,485731,489939,+,4208
Rv0406c,489887,490705,-,818
Rv0407,490783,491793,+,1010
Rv0408,491786,493858,+,2072
Rv0409,493851,495008,+,1157
Rv0410c,495062,497314,-,2252
Rv0411c,497314,498300,-,986
Rv0412c,498300,499619,-,1319
Rv0413,499713,500366,+,653
Rv0414c,500350,501018,-,668
Rv0415,501148,502170,+,1022
Rv0416,502167,502373,+,206
Rv0417,502366,503124,+,758
Rv0418,503496,504998,+,1502
Rv0419,505086,506582,+,1496
Rv0420c,506561,506971,-,410
Rv0421c,507132,507761,-,629
Rv0422c,507758,508555,-,797
Rv0423c,508582,510225,-,1643
Rv0424c,510377,510652,-,275
Rv0425c,510702,515321,-,4619
Rv0426c,515373,515816,-,443
Rv0427c,516017,516892,-,875
Rv0428c,516895,517803,-,908
Rv0429c,517803,518396,-,593
Rv0430,518733,519041,+,308
Rv0431,519073,519567,+,494
Rv0432,519600,520322,+,722
Rv0433,520324,521454,+,1130
Rv0434,521514,522167,+,653
Rv0435c,522347,524533,-,2186
Rv0436c,524530,525390,-,860
Rv0437c,525387,526082,-,695
Rv0438c,526143,527360,-,1217
Rv0439c,527379,528314,-,935
Rv0440,528608,530230,+,1622
Rv0441c,530296,530724,-,428
Rv0442c,530751,532214,-,1463
Rv0443,532396,532911,+,515
Rv0444c,533091,533789,-,698
Rv0445c,533833,534396,-,563
Rv0446c,534445,535215,-,770
Rv0447c,535224,536507,-,1283
Rv0448c,536504,537169,-,665
Rv0449c,537229,538548,-,1319
Rv0450c,538588,541491,-,2903
Rv0451c,541488,541910,-,422
Rv0452,542142,542852,+,710
Rv0453,543174,544730,+,1556
Rv0454,544835,545185,+,350
Rv0455c,545375,545821,-,446
Rv0456A,547076,547357,-,281
Rv0456c,545889,546803,-,914
Rv0457c,547586,549607,-,2021
Rv0458,549675,551198,+,1523
Rv0459,551198,551689,+,491
Rv0460,551749,551988,+,239
Rv0461,552026,552550,+,524
Rv0462,552614,554008,+,1394
Rv0463,554016,554309,+,293
Rv0464c,554313,554885,-,572
Rv0465c,554882,556306,-,1424
Rv0466,556458,557252,+,794
Rv0467,557527,558813,+,1286
Rv0468,558895,559755,+,860
Rv0469,559888,560748,+,860
Rv0470A,561854,562294,-,440
Rv0470c,560848,561711,-,863
Rv0471c,562225,562713,-,488
Rv0472c,562723,563427,-,704
Rv0473,563564,564934,+,1370
Rv0474,565021,565443,+,422
Rv0475,565797,566396,+,599
Rv0476,566508,566771,+,263
Rv0477,566776,567222,+,446
Rv0478,567222,567896,+,674
Rv0479c,567921,568967,-,1046
Rv0480c,568964,569806,-,842
Rv0481c,569988,570512,-,524
Rv0482,570539,571648,+,1109
Rv0483,571710,573065,+,1355
Rv0484c,573046,573801,-,755
Rv0485,573984,575300,+,1316
Rv0486,575348,576790,+,1442
Rv0487,576787,577338,+,551
Rv0488,577664,578269,+,605
Rv0489,578426,579175,+,749
Rv0490,579349,580581,+,1232
Rv0491,580809,581492,+,683
Rv0492A,583375,583704,-,329
Rv0492c,581489,583378,-,1889
Rv0493c,583701,584690,-,989
Rv0494,584695,585423,+,728
Rv0495c,585424,586314,-,890
Rv0496,586394,587380,+,986
Rv0497,587377,588309,+,932
Rv0498,588325,589167,+,842
Rv0499,589183,590058,+,875
Rv0500,590083,590970,+,887
Rv0500A,591111,591347,+,236
Rv0500B,591475,591576,+,101
Rv0501,591654,592784,+,1130
Rv0502,592791,593867,+,1076
Rv0503c,593871,594779,-,908
Rv0504c,594802,595302,-,500
Rv0505c,595464,596585,-,1121
Rv0506,596759,597202,+,443
Rv0507,597199,600105,+,2906
Rv0508,600098,600391,+,293
Rv0509,600441,601847,+,1406
Rv0510,601857,602786,+,929
Rv0511,602819,604516,+,1697
Rv0512,604602,605591,+,989
Rv0513,605604,606152,+,548
Rv0514,606149,606448,+,299
Rv0515,606551,608062,+,1511
Rv0516c,608059,608535,-,476
Rv0517,608746,610056,+,1310
Rv0518,610188,610883,+,695
Rv0519c,611172,612074,-,902
Rv0520,612255,612605,+,350
Rv0521,612598,612903,+,305
Rv0522,613038,614342,+,1304
Rv0523c,614326,614721,-,395
Rv0524,614835,616223,+,1388
Rv0525,616223,616831,+,608
Rv0526,616846,617496,+,650
Rv0527,617493,618272,+,779
Rv0528,618305,619894,+,1589
Rv0529,619891,620865,+,974
Rv0530,620907,622124,+,1217
Rv0531,622329,622646,+,317
Rv0532,622793,624577,+,1784
Rv0533c,624473,625480,-,1007
Rv0534c,625562,626440,-,878
Rv0535,626457,627251,+,794
Rv0536,627248,628288,+,1040
Rv0537c,628298,629731,-,1433
Rv0538,630040,631686,+,1646
Rv0539,631743,632375,+,632
Rv0540,632372,633034,+,662
Rv0541c,633055,634404,-,1349
Rv0542c,634416,635504,-,1088
Rv0543c,635573,635875,-,302
Rv0544c,635935,636213,-,278
Rv0545c,636210,637463,-,1253
Rv0546c,637583,637969,-,386
Rv0547c,638032,638916,-,884
Rv0548c,639012,639956,-,944
Rv0549c,640228,640641,-,413
Rv0550c,640638,640904,-,266
Rv0551c,641096,642811,-,1715
Rv0552,642889,644493,+,1604
Rv0553,644490,645470,+,980
Rv0554,645467,646255,+,788
Rv0555,646298,647962,+,1664
Rv0556,647959,648474,+,515
Rv0557,648536,649672,+,1136
Rv0558,649689,650393,+,704
Rv0559c,650407,650745,-,338
Rv0560c,650779,651504,-,725
Rv0561c,651529,652755,-,1226
Rv0562,652771,653778,+,1007
Rv0563,653879,654739,+,860
Rv0564c,654924,655949,-,1025
Rv0565c,656010,657470,-,1460
Rv0566c,657548,658039,-,491
Rv0567,658321,659340,+,1019
Rv0568,659450,660868,+,1418
Rv0569,661003,661269,+,266
Rv0570,661295,663373,+,2078
Rv0571c,663487,664818,-,1331
Rv0572c,665042,665383,-,341
Rv0573c,665851,667242,-,1391
Rv0574c,667252,668394,-,1142
Rv0575c,668579,669745,-,1166
Rv0576,669848,671152,+,1304
Rv0577,671166,671951,+,785
Rv0578c,671996,675916,-,3920
Rv0579,676238,676996,+,758
Rv0580c,677125,677616,-,491
Rv0581,677710,677925,+,215
Rv0582,677922,678329,+,407
Rv0583c,678389,679075,-,686
Rv0584,679229,681862,+,2633
Rv0585c,681885,684272,-,2387
Rv0586,684410,685132,+,722
Rv0587,685129,685926,+,797
Rv0588,685928,686815,+,887
Rv0589,686821,688035,+,1214
Rv0590,688032,688859,+,827
Rv0590A,688808,689062,+,254
Rv0591,689059,690504,+,1445
Rv0592,690501,692027,+,1526
Rv0593,692024,693232,+,1208
Rv0594,693237,694787,+,1550
Rv0595c,694839,695231,-,392
Rv0596c,695228,695485,-,257
Rv0597c,695668,696903,-,1235
Rv0598c,697154,697567,-,413
Rv0599c,697564,697800,-,236
Rv0600c,697904,698410,-,506
Rv0601c,698524,698994,-,470
Rv0602c,699038,699799,-,761
Rv0603,699856,700167,+,311
Rv0604,700239,701189,+,950
Rv0605,701406,702014,+,608
Rv0606,702016,702759,+,743
Rv0607,702813,703199,+,386
Rv0608,703244,703489,+,245
Rv0609,703486,703887,+,401
Rv0609A,703830,704057,+,227
Rv0610c,704752,705909,-,1157
Rv0611c,705961,706344,-,383
Rv0612,706324,706929,+,605
Rv0613c,706948,709515,-,2567
Rv0614,709356,710348,+,992
Rv0615,710345,710587,+,242
Rv0616c,710584,710850,-,266
Rv0617,711006,711407,+,401
Rv0618,711536,712231,+,695
Rv0619,712174,712719,+,545
Rv0620,712716,713807,+,1091
Rv0621,714202,715266,+,1064
Rv0622,715370,716317,+,947
Rv0623,716410,716664,+,254
Rv0624,716664,717059,+,395
Rv0625c,717153,717893,-,740
Rv0626,718025,718285,+,260
Rv0627,718282,718689,+,407
Rv0628c,718761,719912,-,1151
Rv0629c,720005,721732,-,1727
Rv0630c,721729,725013,-,3284
Rv0631c,725013,728306,-,3293
Rv0632c,728583,729278,-,695
Rv0633c,729327,730166,-,839
Rv0634A,731113,731364,+,251
Rv0634B,731712,731879,+,167
Rv0634c,730320,731033,-,713
Rv0635,731930,732406,+,476
Rv0636,732393,732821,+,428
Rv0637,732825,733325,+,500
Rv0638,733737,734222,+,485
Rv0639,734254,734970,+,716
Rv0640,735022,735450,+,428
Rv0641,735517,736224,+,707
Rv0642c,736298,737203,-,905
Rv0643c,737268,738149,-,881
Rv0644c,738297,739160,-,863
Rv0645c,739327,740187,-,860
Rv0646c,740234,741139,-,905
Rv0647c,741151,742617,-,1466
Rv0648,742719,746366,+,3647
Rv0649,746363,747037,+,674
Rv0650,747037,747945,+,908
Rv0651,748276,748812,+,536
Rv0652,748849,749241,+,392
Rv0653c,749234,749929,-,695
Rv0654,750000,751505,+,1505
Rv0655,751517,752596,+,1079
Rv0656c,752984,753367,-,383
Rv0657c,753462,753617,-,155
Rv0658c,753693,754409,-,716
Rv0659c,754685,754993,-,308
Rv0660c,754980,755225,-,245
Rv0661c,755335,755772,-,437
Rv0662c,755769,756137,-,368
Rv0663,756137,758500,+,2363
Rv0664,758532,758804,+,272
Rv0665,758801,759139,+,338
Rv0666,759136,759309,+,173
Rv0667,759807,763325,+,3518
Rv0668,763370,767320,+,3950
Rv0669c,767684,769597,-,1913
Rv0670,769792,770550,+,758
Rv0671,770582,771424,+,842
Rv0672,771484,773112,+,1628
Rv0673,773123,774061,+,938
Rv0674,774064,774786,+,722
Rv0675,774783,775574,+,791
Rv0676c,775586,778480,-,2894
Rv0677c,778477,778905,-,428
Rv0678,778990,779487,+,497
Rv0679c,779543,780040,-,497
Rv0680c,780042,780416,-,374
Rv0681,780721,781311,+,590
Rv0682,781560,781934,+,374
Rv0683,781934,782404,+,470
Rv0684,782485,784590,+,2105
Rv0685,784821,786011,+,1190
Rv0686,786149,786946,+,797
Rv0687,787099,787926,+,827
Rv0688,787940,789160,+,1220
Rv0689c,789157,789411,-,254
Rv0690c,790024,791073,-,1049
Rv0691c,791070,791666,-,596
Rv0692,791831,792160,+,329
Rv0693,792157,793332,+,1175
Rv0694,793335,794525,+,1190
Rv0695,794715,795470,+,755
Rv0696,795519,796931,+,1412
Rv0697,796933,798372,+,1439
Rv0698,798833,799444,+,611
Rv0699,799629,799850,+,221
Rv0700,800487,800792,+,305
Rv0701,800809,801462,+,653
Rv0702,801462,802133,+,671
Rv0703,802133,802435,+,302
Rv0704,802528,803370,+,842
Rv0705,803411,803692,+,281
Rv0706,803689,804282,+,593
Rv0707,804282,805106,+,824
Rv0708,805110,805526,+,416
Rv0709,805526,805759,+,233
Rv0710,805756,806166,+,410
Rv0711,806335,808698,+,2363
Rv0712,808746,809645,+,899
Rv0713,809946,810887,+,941
Rv0714,811373,811741,+,368
Rv0715,811742,812059,+,317
Rv0716,812059,812622,+,563
Rv0717,812627,812812,+,185
Rv0718,812976,813374,+,398
Rv0719,813398,813937,+,539
Rv0720,813940,814308,+,368
Rv0721,814328,814990,+,662
Rv0722,814993,815190,+,197
Rv0723,815190,815630,+,440
Rv0724,815663,817534,+,1871
Rv0724A,817531,817866,-,335
Rv0725c,817539,818444,-,905
Rv0726c,818537,819640,-,1103
Rv0727c,819843,820499,-,656
Rv0728c,820496,821476,-,980
Rv0729,821507,822853,+,1346
Rv0730,822866,823594,+,728
Rv0731c,823683,824639,-,956
Rv0732,824800,826125,+,1325
Rv0733,826122,826667,+,545
Rv0734,826670,827470,+,800
Rv0735,827543,828076,+,533
Rv0736,828140,828892,+,752
Rv0737,829207,829704,+,497
Rv0738,830062,830610,+,548
Rv0739,830855,831661,+,806
Rv0740,831776,832303,+,527
Rv0741,832534,832848,+,314
Rv0742,832981,833508,+,527
Rv0743c,833886,834443,-,557
Rv0744c,834440,834946,-,506
Rv0745,835154,835681,+,527
Rv0746,835701,838052,+,2351
Rv0747,838451,840856,+,2405
Rv0748,840947,841204,+,257
Rv0749,841228,841656,+,428
Rv0749A,841737,841874,-,137
Rv0750,842033,842278,+,245
Rv0751c,842347,843231,-,884
Rv0752c,843242,844414,-,1172
Rv0753c,844421,845953,-,1532
Rv0754,846159,847913,+,1754
Rv0755A,850342,850527,-,185
Rv0755c,848103,850040,-,1937
Rv0756c,850741,851466,-,725
Rv0757,851608,852351,+,743
Rv0758,852396,853853,+,1457
Rv0759c,853825,854157,-,332
Rv0760c,854267,854686,-,419
Rv0761c,854699,855826,-,1127
Rv0762c,855925,856470,-,545
Rv0763c,856473,856679,-,206
Rv0764c,856682,858037,-,1355
Rv0765c,858037,858864,-,827
Rv0766c,858864,860072,-,1208
Rv0767c,860069,860710,-,641
Rv0768,860912,862381,+,1469
Rv0769,862412,863158,+,746
Rv0770,863256,864143,+,887
Rv0771,864140,864574,+,434
Rv0772,864586,865854,+,1268
Rv0773c,865851,867389,-,1538
Rv0774c,867440,868351,-,911
Rv0775,868407,869030,+,623
Rv0776c,868984,869763,-,779
Rv0777,870008,871426,+,1418
Rv0778,871431,872675,+,1244
Rv0779c,872672,873292,-,620
Rv0780,873343,874236,+,893
Rv0781,874233,874943,+,710
Rv0782,874732,876390,+,1658
Rv0783c,876818,878440,-,1622
Rv0784,878638,879324,+,686
Rv0785,879340,881040,+,1700
Rv0786c,881075,881464,-,389
Rv0787,881459,882418,+,959
Rv0787A,882524,882763,+,239
Rv0788,882760,883434,+,674
Rv0789c,883451,884050,-,599
Rv0790c,884072,884800,-,728
Rv0791c,884797,885840,-,1043
Rv0792c,885837,886646,-,809
Rv0793,886719,887024,+,305
Rv0794c,887137,888636,-,1499
Rv0795,889072,889398,+,326
Rv0796,889395,890333,+,938
Rv0797,890388,891482,+,1094
Rv0798c,891472,892269,-,797
Rv0799c,892266,893273,-,1007
Rv0800,893318,894619,+,1301
Rv0801,894631,894978,+,347
Rv0802c,894972,895628,-,656
Rv0803,895820,898084,+,2264
Rv0804,898081,898710,+,629
Rv0805,898831,899787,+,956
Rv0806c,899732,901330,-,1598
Rv0807,901635,902024,+,389
Rv0808,902111,903694,+,1583
Rv0809,903725,904819,+,1094
Rv0810c,904905,905087,-,182
Rv0811c,905234,906340,-,1106
